,temp,precip,doy
379,-5.083,0.0,16.79
380,-4.801,0.0,16.83
381,-4.882,0.0,16.88
382,-5.806,0.0,16.92
383,-8.1,0.0,16.96
384,-6.939,0.0,17.0
385,-4.443,0.0,17.04
386,-7.15,0.0,17.08
387,-8.71,0.0,17.12
388,-8.64,0.0,17.17
389,-8.65,0.0,17.21
390,-8.7,0.0,17.25
391,-8.18,0.0,17.29
392,-7.97,0.0,17.33
393,-5.959,0.0,17.38
394,-4.396,0.0,17.42
395,-4.251,0.0,17.46
396,-2.978,0.0,17.5
397,-3.129,0.0,17.54
398,-2.307,0.0,17.58
399,-2.148,0.0,17.62
400,-5.665,0.0,17.67
401,-5.555,0.0,17.71
402,-6.665,0.0,17.75
403,-6.825,0.0,17.79
404,-7.65,0.0,17.83
405,-7.17,0.0,17.88
406,-6.856,0.0,17.92
407,-5.116,0.0,17.96
408,-4.602,0.0,18.0
409,-4.814,0.0,18.04
410,-1.729,0.0,18.08
411,-4.369,0.0,18.12
412,-3.443,0.0,18.17
413,-2.191,0.0,18.21
414,-0.205,0.0,18.25
415,0.305,0.0,18.29
416,1.26,0.0,18.33
417,0.506,0.0,18.38
418,0.432,0.0,18.42
419,1.414,0.0,18.46
420,1.265,0.0,18.5
421,1.293,0.0,18.54
422,-0.601,0.1,18.58
423,-0.633,0.1,18.62
424,-0.593,0.0,18.67
425,-1.736,0.0,18.71
426,-2.127,0.0,18.75
427,0.194,0.0,18.79
428,0.62,0.0,18.83
429,-0.723,0.0,18.88
430,0.407,0.0,18.92
431,0.74,0.0,18.96
432,-0.299,0.0,19.0
433,-0.408,0.0,19.04
434,-0.577,0.0,19.08
435,-0.175,0.0,19.12
436,-0.026,0.0,19.17
437,1.017,0.0,19.21
438,0.575,0.0,19.25
439,0.439,0.0,19.29
440,-0.179,0.0,19.33
441,0.625,0.0,19.38
442,0.105,0.1,19.42
443,1.176,1.7,19.46
444,1.071,2.8,19.5
445,1.661,2.6,19.54
446,2.353,1.0,19.58
447,1.645,0.0,19.62
448,1.386,0.0,19.67
449,1.573,0.0,19.71
450,1.932,0.0,19.75
451,2.479,0.0,19.79
452,2.073,0.0,19.83
453,2.23,0.0,19.88
454,0.713,0.0,19.92
455,1.723,0.0,19.96
456,-0.53,0.0,20.0
457,0.389,0.0,20.04
458,1.524,0.0,20.08
459,-0.116,0.0,20.12
460,-1.057,0.0,20.17
461,-0.6,0.0,20.21
462,1.911,0.0,20.25
463,2.059,0.0,20.29
464,1.041,0.0,20.33
465,2.576,0.0,20.38
466,3.274,0.0,20.42
467,3.445,0.0,20.46
468,4.014,0.0,20.5
469,4.236,0.0,20.54
470,3.108,0.0,20.58
471,2.954,0.0,20.62
472,1.293,0.0,20.67
473,1.114,0.0,20.71
474,1.131,0.0,20.75
475,0.287,0.0,20.79
476,-0.576,0.0,20.83
477,0.142,0.0,20.88
478,-1.092,0.0,20.92
479,-3.322,0.0,20.96
480,-2.947,0.0,21.0
481,-3.131,0.0,21.04
482,-2.181,0.0,21.08
483,-1.133,0.0,21.12
484,-1.027,0.0,21.17
485,-1.501,0.0,21.21
486,-1.356,0.0,21.25
487,-0.542,0.0,21.29
488,-5.277,0.0,21.33
489,-3.384,0.0,21.38
490,-2.279,0.0,21.42
491,-1.364,0.0,21.46
492,-0.525,0.0,21.5
493,-1.164,0.0,21.54
494,-1.706,0.0,21.58
495,-2.406,0.0,21.62
496,-3.176,0.0,21.67
497,-3.321,0.0,21.71
