datetime_index,year,month,day,hour,mn,sec,event_ID,doy,datetime
2007-06-17 20:52:59,7,6,17,20,52,59,70617205259,168,2007-06-17 20:52:59
2007-06-17 21:03:59,7,6,17,21,3,59,70617210359,168,2007-06-17 21:03:59
2007-06-17 21:16:59,7,6,17,21,16,59,70617211659,168,2007-06-17 21:16:59
2007-06-17 21:32:59,7,6,17,21,32,59,70617213259,168,2007-06-17 21:32:59
2007-06-17 21:44:59,7,6,17,21,44,59,70617214459,168,2007-06-17 21:44:59
2007-06-17 21:56:59,7,6,17,21,56,59,70617215659,168,2007-06-17 21:56:59
2007-06-17 22:07:59,7,6,17,22,7,59,70617220759,168,2007-06-17 22:07:59
2007-06-17 22:19:59,7,6,17,22,19,59,70617221959,168,2007-06-17 22:19:59
2007-06-17 22:34:59,7,6,17,22,34,59,70617223459,168,2007-06-17 22:34:59
2007-06-17 22:47:00,7,6,17,22,47,0,70617224700,168,2007-06-17 22:47:00
2007-06-17 22:59:00,7,6,17,22,59,0,70617225900,168,2007-06-17 22:59:00
2007-06-17 23:12:00,7,6,17,23,12,0,70617231200,168,2007-06-17 23:12:00
2007-06-17 23:32:00,7,6,17,23,32,0,70617233200,168,2007-06-17 23:32:00
2007-06-17 23:46:00,7,6,17,23,46,0,70617234600,168,2007-06-17 23:46:00
2007-06-17 23:59:00,7,6,17,23,59,0,70617235900,168,2007-06-17 23:59:00
2007-06-18 00:02:00,7,6,18,0,2,0,70618000200,169,2007-06-18 00:02:00
2007-06-18 00:15:00,7,6,18,0,15,0,70618001500,169,2007-06-18 00:15:00
2007-06-18 00:34:00,7,6,18,0,34,0,70618003400,169,2007-06-18 00:34:00
2007-06-18 00:46:00,7,6,18,0,46,0,70618004600,169,2007-06-18 00:46:00
2007-06-18 01:09:00,7,6,18,1,9,0,70618010900,169,2007-06-18 01:09:00
2007-06-18 01:21:00,7,6,18,1,21,0,70618012100,169,2007-06-18 01:21:00
2007-06-18 01:32:00,7,6,18,1,32,0,70618013200,169,2007-06-18 01:32:00
